,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Condado,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,1.7142857142857142,1.8571428571428572,1.4285714285714286,0.8571428571428571,0.8571428571428571,0.5714285714285714,1.7142857142857142,1.8571428571428572,1.2857142857142858,1.5714285714285714,1.1428571428571428,0.2857142857142857,0.5714285714285714,1.0,0.8571428571428571,1.8571428571428572
Santa Rita,0.0,0.5714285714285714,1.4285714285714286,1.5714285714285714,6.714285714285714,12.857142857142858,15.571428571428571,14.857142857142858,29.428571428571427,17.714285714285715,21.857142857142858,21.142857142857142,22.857142857142858,17.142857142857142,22.142857142857142,39.142857142857146,18.0,47.142857142857146,46.0,29.428571428571427,20.571428571428573,23.571428571428573
Desterro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,1.0,0.2857142857142857,0.5714285714285714,1.2857142857142858,1.1428571428571428,0.42857142857142855,0.8571428571428571,0.5714285714285714,0.42857142857142855,0.0,0.5714285714285714,0.0,0.5714285714285714
Piancó,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7142857142857143,1.7142857142857142,2.5714285714285716,3.4285714285714284,2.4285714285714284,2.0,2.142857142857143,1.8571428571428572,1.8571428571428572,1.7142857142857142,2.142857142857143
Congo,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,1.2857142857142858,0.14285714285714285,0.0,0.0,0.0,0.5714285714285714,1.5714285714285714,1.4285714285714286,0.5714285714285714,0.2857142857142857,0.8571428571428571,2.2857142857142856,0.42857142857142855,0.42857142857142855,1.2857142857142858,0.8571428571428571
Emas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.5714285714285714,1.8571428571428572,2.5714285714285716,1.1428571428571428,0.42857142857142855,0.0,0.2857142857142857
São José dos Ramos,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.7142857142857143,1.1428571428571428,1.5714285714285714,3.2857142857142856,2.7142857142857144,3.2857142857142856,3.2857142857142856,5.714285714285714,3.4285714285714284,4.857142857142857,1.4285714285714286,1.8571428571428572,1.8571428571428572,0.42857142857142855
Riacho de Santo Antônio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,1.1428571428571428,0.42857142857142855,0.2857142857142857,1.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0
Santa Cecília,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.7142857142857143,0.42857142857142855,3.857142857142857,0.14285714285714285,1.2857142857142858,1.0,0.7142857142857143,0.5714285714285714,0.42857142857142855
Triunfo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.7142857142857143,1.4285714285714286,1.1428571428571428,1.4285714285714286,0.5714285714285714,2.0,1.0,1.5714285714285714
Santa Inês,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.42857142857142855,1.5714285714285714,1.1428571428571428,0.42857142857142855,1.4285714285714286,1.5714285714285714,0.8571428571428571,0.5714285714285714,0.42857142857142855
Algodão de Jandaíra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.5714285714285714,0.42857142857142855
Pilões,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.5714285714285714,0.42857142857142855,0.8571428571428571,1.5714285714285714,0.7142857142857143,0.42857142857142855,0.5714285714285714,0.2857142857142857,1.1428571428571428,3.2857142857142856,2.0,2.4285714285714284,0.8571428571428571,0.14285714285714285,0.0
Conceição,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,-0.42857142857142855,0.14285714285714285,0.42857142857142855,3.7142857142857144,11.285714285714286,3.7142857142857144,9.714285714285714,16.142857142857142,17.142857142857142,12.857142857142858,3.5714285714285716,2.4285714285714284
