,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28
Pilar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,3,1,2,0,0,0,5,2,1,0,0,3,3,2,0,2,0,-1,1,10,4,-2,0,1,0,2,4,2,1,2,5,0,0,5,1,2,1,4,-1,0,9,5,0,12,6,1,1,15,0,5,6,7,0,0,11,3,6,0,16,0,0,4,9,6,4,12,2,0,2,1,4,6,0,0,0,6,1,9,3,2,1,5,6,3,5,1,3,3,0,10,3,4,3,3,0,2,6,5,6,2,2,3,9,35,14,2,1,4,0,0,9,19,3,0
Santa Rita,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,3,2,2,3,0,4,-1,0,4,1,0,4,8,3,7,14,11,13,11,4,11,11,7,33,7,9,30,9,16,17,21,17,15,3,13,24,23,9,26,23,6,4,29,89,29,-28,16,14,14,35,27,46,2,28,-2,23,25,41,36,19,23,7,26,47,25,1,39,41,18,20,37,1,4,23,16,21,4,49,0,7,6,44,1,28,29,30,17,27,22,24,14,21,69,97,24,8,22,6,25,9,32,47,33,37,20,74,114,5,108,45,8,55,40,18,48,8,79,14,22,37,39,7,4,22,17,1,6,32,62,53,23,-13,9,45,18,30,54
Barra de Santa Rosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,-1,1,1,0,0,0,-1,6,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,-1,0,0,0,1,0,0,0,0,0,0,3,0,2,0,7,0,0,0,1,1,0,0,0,0,0,1,0,6,0,0,0,2,4,2,0,1,0,0,0,0,0,5,9,0,1,0,0,1,1,2,2,0,0,2,2,0,0,0,0,0,0,0,3,1
São Domingos do Cariri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,1,0,0,1,1,0,6,0,3,0,1,3,1,4,2,1,0,0,2,0,2,0,0,4,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,-3,8,0,0,0,0,4,0,3,0
Quixaba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,2,0,0,0,0,0,0,9,0,2,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,1,1,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0
Pirpirituba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,3,0,0,1,3,0,2,0,2,2,0,1,1,1,3,1,0,0,4,2,0,1,0,0,0,9,2,0,4,5,0,2,1,0,2,13,5,0,1,7,3,10,0,10,0,0,11,7,1,1,11,1,0,9,9,7,3,0,0,0,0,0,0,39,15,0,8,0,14,0,2,0,0,0,10,8,0,17,0,0,0,10,0,0,14,1,0,0,2,0,1,1,0,0,0,0,1,1,0
São Francisco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,7,0,0,2,2,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-1,0,5,0,0,0,0,7,-1,2,1,0,0,0,0,2,5,8,0,0,0,3,0,2,1,7,0,1,6,0,2,0,0,0,0,3,0,1,0,1,0,1,4,0,0,0,0,0,0,1,1,2,2,0,0,2,1,4,1,0,0,3,0,5,5,6,0,0,0,15,10,16,1,2,0,1,0,21,7,0,9,0,0,1,24,4,0,4,0,1,1,0,3,8,3,0,0,1,18,11,0
Marcação,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,1,0,4,3,5,-2,6,2,0,0,2,9,1,4,8,0,0,5,19,9,6,16,0,1,5,10,6,0,1,0,5,0,8,23,12,6,0,0,6,18,18,20,2,0,0,21,1,5,13,1,0,0,7,3,15,1,8,0,0,17,7,2,17,0,0,0,3,6,5,5
Caldas Brandão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,4,0,-1,0,4,0,3,1,0,0,0,2,1,0,2,1,1,0,5,0,1,0,0,0,0,6,1,0,10,0,-1,0,14,0,0,0,15,0,0,8,2,0,13,0,1,0,7,1,-2,7,1,1,0,9,0,2,6,0,0,0,8,1,0,7,0,0,0,16,-2,3,4,-1,0,1,9,19,1,17,0,0,1,7,4,2,0,0,1,0,12,1,3,0,0,0,0,0,0,1,0
